Day,State,Observation,Temperature,Humidity,WindSpeed
143,Cloudy,Travel,16,77,22
144,Sunny,Shop,29,66,23
145,Cloudy,Shop,34,77,5
146,Cloudy,Travel,24,56,9
147,Rainy,Travel,24,56,14
148,Rainy,Travel,34,63,9
149,Sunny,Read,16,52,15
150,Cloudy,Clean,33,86,20
151,Cloudy,Clean,30,47,8
152,Rainy,Clean,17,66,22
153,Rainy,Shop,33,58,9
154,Sunny,Travel,24,61,10
155,Rainy,Read,23,51,18
156,Sunny,Walk,28,65,17
157,Cloudy,Walk,29,61,19
158,Sunny,Clean,30,56,8
159,Rainy,Walk,17,54,19
160,Cloudy,Shop,28,63,6
161,Rainy,Shop,28,46,7
162,Cloudy,Clean,29,84,22
163,Sunny,Clean,33,54,9
164,Sunny,Walk,31,78,16
165,Rainy,Walk,27,59,8
166,Sunny,Clean,23,84,22
167,Cloudy,Travel,29,61,6
168,Cloudy,Walk,26,58,14
169,Rainy,Read,20,65,6
170,Cloudy,Clean,27,45,9
171,Rainy,Walk,20,45,20
172,Sunny,Clean,23,42,23
173,Cloudy,Read,18,63,10
174,Sunny,Travel,25,43,19
175,Sunny,Walk,20,41,19
176,Cloudy,Shop,33,84,16
177,Rainy,Shop,18,58,24
178,Rainy,Travel,31,51,19
179,Rainy,Shop,28,77,9
180,Sunny,Clean,18,52,15
181,Cloudy,Walk,20,89,14
182,Rainy,Shop,26,41,17
183,Sunny,Travel,15,76,13
184,Rainy,Walk,25,54,10
185,Cloudy,Clean,31,44,16
186,Sunny,Read,25,48,6
187,Cloudy,Clean,15,79,12
188,Cloudy,Walk,19,53,7
189,Rainy,Read,19,58,18
190,Sunny,Travel,27,81,22
191,Cloudy,Clean,20,72,19
192,Rainy,Walk,31,72,19
193,Cloudy,Shop,28,79,12
194,Cloudy,Clean,20,45,7
195,Cloudy,Clean,22,81,24
196,Cloudy,Read,15,69,11
197,Cloudy,Travel,20,72,9
198,Cloudy,Walk,18,61,6
199,Sunny,Read,24,72,10
200,Rainy,Travel,27,63,24
201,Cloudy,Read,22,44,19
202,Rainy,Shop,33,75,8
203,Sunny,Clean,19,59,15
204,Sunny,Shop,22,77,10
205,Cloudy,Shop,28,82,16
206,Sunny,Read,22,57,5
207,Cloudy,Travel,25,51,16
208,Rainy,Read,22,81,21
209,Cloudy,Shop,23,68,18
210,Rainy,Clean,15,85,9
211,Rainy,Shop,28,75,5
212,Cloudy,Clean,22,54,19
213,Rainy,Read,23,49,24
214,Rainy,Read,23,74,24
215,Rainy,Shop,25,77,6
216,Cloudy,Shop,16,66,21
217,Cloudy,Clean,26,63,11
218,Sunny,Read,15,88,15
219,Sunny,Shop,32,60,21
220,Cloudy,Walk,34,80,21
221,Sunny,Travel,22,88,11
222,Rainy,Read,33,58,21
223,Rainy,Read,30,79,23
224,Sunny,Walk,28,86,22
225,Sunny,Travel,31,89,10
226,Cloudy,Travel,15,47,11
227,Cloudy,Shop,24,58,18
228,Sunny,Travel,15,62,22
229,Cloudy,Read,22,40,7
230,Cloudy,Clean,22,86,9
231,Cloudy,Clean,15,67,19
232,Sunny,Clean,28,71,18
233,Cloudy,Travel,34,76,18
234,Cloudy,Shop,21,49,11
235,Rainy,Read,33,87,23
236,Rainy,Travel,32,41,5
237,Cloudy,Read,34,50,14
238,Cloudy,Shop,17,62,16
239,Rainy,Read,20,69,13
240,Sunny,Read,26,74,24
241,Sunny,Travel,31,49,18
242,Cloudy,Walk,32,56,18
243,Rainy,Shop,27,64,11
244,Rainy,Clean,28,43,17
245,Sunny,Read,25,45,22
246,Rainy,Shop,18,80,10
247,Sunny,Walk,19,64,10
248,Sunny,Travel,24,61,10
249,Cloudy,Shop,26,84,11
250,Sunny,Read,31,65,18
251,Sunny,Travel,25,40,23
252,Rainy,Travel,33,65,15
253,Cloudy,Travel,31,78,12
254,Cloudy,Shop,29,63,9
255,Rainy,Shop,18,86,24
256,Cloudy,Clean,34,82,21
257,Sunny,Clean,27,82,6
258,Rainy,Shop,16,48,13
259,Rainy,Walk,25,79,14
260,Rainy,Clean,17,89,9
261,Cloudy,Shop,26,58,9
262,Cloudy,Clean,31,56,14
263,Rainy,Walk,29,51,20
264,Cloudy,Read,31,62,9
265,Sunny,Walk,32,64,16
266,Cloudy,Clean,23,84,19
267,Sunny,Walk,21,53,19
268,Rainy,Walk,33,87,12
269,Sunny,Clean,32,70,24
270,Cloudy,Clean,32,81,11
271,Rainy,Clean,26,84,6
272,Cloudy,Read,25,79,16
273,Cloudy,Walk,18,68,17
274,Sunny,Walk,30,84,14
275,Sunny,Shop,17,81,6
276,Sunny,Clean,27,52,22
277,Cloudy,Clean,21,85,24
278,Rainy,Walk,26,55,16
279,Cloudy,Walk,24,69,11
280,Rainy,Walk,31,42,17
281,Sunny,Shop,18,57,9
282,Rainy,Walk,28,54,13
283,Cloudy,Walk,18,51,9
284,Rainy,Read,25,45,11
285,Cloudy,Clean,27,73,11
286,Cloudy,Travel,33,84,18
287,Sunny,Clean,16,65,13
288,Rainy,Shop,17,45,9
289,Rainy,Walk,23,74,24
290,Sunny,Walk,24,74,22
291,Sunny,Walk,17,71,7
292,Sunny,Read,29,64,13
293,Sunny,Read,16,50,13
294,Cloudy,Clean,23,42,6
295,Sunny,Walk,29,79,9
296,Cloudy,Clean,16,63,19
297,Sunny,Clean,19,87,22
298,Sunny,Read,30,52,9
299,Rainy,Walk,32,79,17
300,Sunny,Read,33,42,12
301,Sunny,Clean,27,84,5
302,Sunny,Clean,30,79,5
303,Cloudy,Clean,30,80,17
304,Cloudy,Read,24,75,10
305,Cloudy,Read,25,84,23
306,Cloudy,Shop,24,71,15
307,Rainy,Shop,18,41,18
308,Rainy,Read,26,78,6
309,Rainy,Clean,31,80,21
310,Cloudy,Shop,27,74,20
311,Sunny,Clean,21,49,13
312,Sunny,Travel,29,69,9
313,Rainy,Travel,34,71,8
314,Sunny,Travel,31,51,21
315,Sunny,Walk,32,89,18
316,Cloudy,Read,26,75,7
317,Rainy,Travel,21,68,15
318,Rainy,Clean,25,62,6
319,Sunny,Shop,18,56,7
320,Rainy,Walk,21,54,15
321,Sunny,Travel,25,66,7
322,Rainy,Travel,29,55,9
323,Cloudy,Travel,20,58,9
324,Cloudy,Clean,15,77,19
325,Sunny,Read,17,88,16
326,Sunny,Travel,30,66,12
327,Sunny,Walk,31,68,12
328,Cloudy,Clean,28,89,24
329,Cloudy,Clean,26,63,7
330,Sunny,Walk,28,46,21
331,Sunny,Travel,34,75,13
332,Sunny,Walk,16,63,12
333,Cloudy,Read,31,47,22
334,Sunny,Shop,28,86,10
335,Cloudy,Read,15,77,13
336,Cloudy,Clean,23,56,16
337,Rainy,Travel,34,72,14
338,Sunny,Travel,15,41,5
339,Rainy,Walk,27,69,5
340,Rainy,Travel,21,41,10
341,Cloudy,Shop,28,89,19
342,Sunny,Shop,26,88,12
343,Cloudy,Read,17,45,13
344,Sunny,Walk,21,70,13
345,Sunny,Travel,22,47,22
346,Sunny,Travel,29,46,15
347,Sunny,Shop,17,80,14
348,Sunny,Clean,32,51,16
349,Rainy,Walk,27,58,18
350,Rainy,Read,33,83,22
351,Sunny,Shop,33,61,9
352,Rainy,Clean,17,67,14
353,Cloudy,Clean,29,72,11
354,Rainy,Read,34,76,8
355,Sunny,Travel,32,88,23
356,Rainy,Travel,16,75,6
357,Cloudy,Shop,18,45,11
358,Sunny,Clean,33,51,7
359,Rainy,Shop,22,60,19
360,Rainy,Clean,22,75,20
361,Sunny,Shop,26,53,18
362,Sunny,Read,19,77,17
363,Rainy,Travel,29,53,11
364,Rainy,Travel,16,78,10
365,Rainy,Clean,16,74,9
366,Rainy,Walk,22,51,8
367,Rainy,Clean,24,42,18
368,Sunny,Read,24,51,13
369,Rainy,Read,34,47,15
370,Rainy,Walk,34,67,15
371,Rainy,Read,26,76,21
372,Rainy,Travel,29,54,10
373,Cloudy,Read,34,89,18
374,Sunny,Walk,19,59,5
375,Cloudy,Clean,20,76,9
376,Rainy,Walk,33,53,16
377,Sunny,Travel,32,63,15
378,Sunny,Shop,32,68,11
379,Cloudy,Clean,32,62,16
380,Sunny,Travel,27,55,22
381,Sunny,Travel,22,89,5
382,Cloudy,Read,20,44,19
383,Sunny,Shop,15,65,15
384,Sunny,Shop,32,56,12
385,Cloudy,Walk,26,66,12
386,Rainy,Travel,15,40,23
387,Cloudy,Read,30,44,13
388,Sunny,Travel,16,89,10
389,Cloudy,Walk,15,80,20
390,Rainy,Walk,27,70,13
391,Cloudy,Travel,16,77,18
392,Sunny,Clean,20,73,22
393,Rainy,Walk,33,84,15
394,Rainy,Walk,29,40,16
395,Sunny,Read,33,68,5
396,Rainy,Walk,17,83,10
397,Sunny,Clean,17,47,18
398,Sunny,Shop,16,85,13
399,Cloudy,Read,22,87,6
400,Sunny,Travel,26,44,6
401,Rainy,Travel,18,54,15
402,Cloudy,Shop,26,82,17
403,Rainy,Clean,30,86,19
404,Rainy,Travel,25,54,8
405,Rainy,Read,33,73,18
406,Rainy,Travel,30,85,19
407,Cloudy,Shop,18,69,22
408,Sunny,Walk,27,43,15
409,Cloudy,Travel,24,78,17
410,Cloudy,Walk,24,81,8
411,Sunny,Walk,26,84,14
412,Cloudy,Clean,27,61,13
413,Sunny,Walk,29,49,14
414,Rainy,Shop,19,43,22
415,Cloudy,Travel,21,49,22
416,Cloudy,Travel,24,72,22
417,Rainy,Walk,17,83,6
418,Rainy,Read,31,61,20
419,Rainy,Clean,21,71,15
420,Sunny,Walk,28,52,6
421,Cloudy,Read,32,42,14
422,Sunny,Read,21,80,21
423,Cloudy,Travel,28,58,8
424,Sunny,Shop,21,84,18
425,Rainy,Walk,18,42,13
426,Rainy,Clean,20,80,11
427,Rainy,Walk,16,44,16
428,Cloudy,Read,22,77,12
429,Sunny,Clean,26,42,10
430,Sunny,Travel,16,77,21
431,Cloudy,Shop,34,47,16
432,Sunny,Travel,19,52,19
433,Rainy,Shop,30,51,21
434,Cloudy,Read,33,79,9
435,Rainy,Walk,34,45,22
436,Cloudy,Walk,30,51,10
437,Sunny,Read,28,75,5
438,Cloudy,Shop,27,41,13
439,Rainy,Shop,23,40,15
440,Cloudy,Travel,18,57,10
441,Cloudy,Clean,29,61,9
442,Sunny,Travel,29,88,14
443,Sunny,Shop,27,74,14
444,Sunny,Clean,30,46,24
445,Sunny,Walk,29,60,7
446,Sunny,Clean,16,74,22
447,Sunny,Travel,32,49,6
448,Rainy,Read,15,75,18
449,Rainy,Read,34,42,7
450,Rainy,Walk,27,73,12
451,Rainy,Shop,18,64,19
452,Rainy,Travel,26,71,17
453,Cloudy,Travel,32,68,10
454,Rainy,Clean,16,62,23
455,Cloudy,Clean,19,58,6
456,Sunny,Walk,16,50,22
457,Rainy,Walk,33,48,7
458,Rainy,Walk,28,46,20
459,Rainy,Travel,18,78,12
460,Rainy,Read,21,68,24
461,Sunny,Shop,19,74,11
462,Cloudy,Travel,28,46,9
463,Rainy,Read,16,66,10
464,Cloudy,Read,24,62,11
465,Rainy,Walk,27,60,22
466,Rainy,Read,32,76,17
467,Rainy,Clean,31,50,24
468,Cloudy,Read,18,73,24
469,Sunny,Clean,23,68,24
470,Rainy,Shop,24,52,21
471,Rainy,Walk,23,80,5
472,Sunny,Travel,30,68,5
473,Sunny,Shop,22,60,15
474,Cloudy,Shop,22,61,12
475,Rainy,Walk,27,58,9
476,Rainy,Read,22,52,12
477,Rainy,Clean,15,84,23
478,Cloudy,Walk,19,59,12
479,Sunny,Travel,25,54,23
480,Cloudy,Clean,33,82,9
481,Rainy,Shop,20,86,20
482,Rainy,Walk,23,41,19
483,Sunny,Clean,31,75,8
484,Sunny,Walk,23,64,22
485,Sunny,Read,18,51,12
486,Sunny,Read,30,71,6
487,Cloudy,Shop,29,56,12
488,Sunny,Walk,22,53,22
489,Sunny,Travel,34,60,16
490,Cloudy,Walk,17,71,11
491,Rainy,Travel,23,86,22
492,Rainy,Read,22,85,12
493,Sunny,Travel,25,61,15
494,Rainy,Travel,27,57,6
495,Rainy,Read,29,66,22
496,Cloudy,Clean,26,52,15
497,Rainy,Read,15,42,23
498,Cloudy,Read,21,83,19
499,Rainy,Read,29,47,14
500,Sunny,Walk,26,44,7
